task,seed,model,scenario,mismatch_rate,feature_set,best_epoch,best_validation_score,n,accuracy,balanced_accuracy,f1_macro,roc_auc_ovr_macro
UCEC_molecular_subtype,43,liquid_cfc_modality_sequence,test_misaligned,1.0,multiomics_core,3,0.9976050420168068,153,0.39869281045751637,0.3668367346938775,0.3636968928344959,0.662410479468946
UCEC_molecular_subtype,43,small_liquid_cfc_modality_sequence,test_misaligned,1.0,multiomics_core,10,0.9958005077030813,153,0.3660130718954248,0.34921150278293134,0.3487331826249352,0.6558471183115828
UCEC_molecular_subtype,44,liquid_cfc_modality_sequence,train_misaligned,0.0,multiomics_core,9,0.9804432316404823,153,0.8888888888888888,0.8942666460523603,0.876021873059261,0.9840879277402647
UCEC_molecular_subtype,44,small_liquid_cfc_modality_sequence,train_misaligned,0.0,multiomics_core,9,0.9853253828705396,153,0.8496732026143791,0.8504019789734075,0.828285437966289,0.9745442872583704
UCEC_molecular_subtype,44,liquid_cfc_modality_sequence,test_misaligned,0.0,multiomics_core,16,0.9786168326026062,153,0.8562091503267973,0.843939393939394,0.8295412177341399,0.9806302080310254
UCEC_molecular_subtype,44,small_liquid_cfc_modality_sequence,test_misaligned,0.0,multiomics_core,19,0.9821379095116307,153,0.9084967320261438,0.8999484642341785,0.8916583396903093,0.9828595548725614
UCEC_molecular_subtype,44,liquid_cfc_modality_sequence,train_misaligned,0.1,multiomics_core,11,0.9827932232675678,153,0.9084967320261438,0.9104797979797981,0.8966881594075206,0.9840643469854695
UCEC_molecular_subtype,44,small_liquid_cfc_modality_sequence,train_misaligned,0.1,multiomics_core,23,0.9686399532639143,153,0.8562091503267973,0.8552514945372088,0.8377934425961231,0.9761695010151318
UCEC_molecular_subtype,44,liquid_cfc_modality_sequence,test_misaligned,0.1,multiomics_core,6,0.9869274639203507,153,0.8300653594771242,0.8117140795712224,0.7964960398379659,0.9520487274121543
UCEC_molecular_subtype,44,small_liquid_cfc_modality_sequence,test_misaligned,0.1,multiomics_core,12,0.9832270163500183,153,0.8300653594771242,0.800729231086374,0.7870384063448246,0.9506530876200563
UCEC_molecular_subtype,44,liquid_cfc_modality_sequence,train_misaligned,0.25,multiomics_core,3,0.9818737440628426,153,0.8823529411764706,0.8661616161616161,0.8610692277567735,0.967278963531322
UCEC_molecular_subtype,44,small_liquid_cfc_modality_sequence,train_misaligned,0.25,multiomics_core,13,0.9690297885458532,153,0.8758169934640523,0.8938878581735724,0.8664721298508876,0.9749503946137894
UCEC_molecular_subtype,44,liquid_cfc_modality_sequence,test_misaligned,0.25,multiomics_core,7,0.9879012148337596,153,0.7450980392156863,0.6958281797567512,0.6856396794694667,0.899213355806799
UCEC_molecular_subtype,44,small_liquid_cfc_modality_sequence,test_misaligned,0.25,multiomics_core,5,0.9840916149068323,153,0.7189542483660131,0.6624948464234178,0.652045868739433,0.8916778735933515
UCEC_molecular_subtype,44,liquid_cfc_modality_sequence,train_misaligned,0.5,multiomics_core,3,0.9664129673608575,153,0.7973856209150327,0.7825757575757576,0.7510093858994809,0.9533486949113275
UCEC_molecular_subtype,44,small_liquid_cfc_modality_sequence,train_misaligned,0.5,multiomics_core,14,0.9753363437766411,153,0.803921568627451,0.7769686662543805,0.7671722416270702,0.9552399535311666
UCEC_molecular_subtype,44,liquid_cfc_modality_sequence,test_misaligned,0.5,multiomics_core,11,0.9864559166057727,153,0.673202614379085,0.6363533292104722,0.6313101855574765,0.8737868079491297
UCEC_molecular_subtype,44,small_liquid_cfc_modality_sequence,test_misaligned,0.5,multiomics_core,9,0.9857553700828157,153,0.6339869281045751,0.6126674912389198,0.6038842598350123,0.8547964573775636
UCEC_molecular_subtype,44,liquid_cfc_modality_sequence,train_misaligned,0.75,multiomics_core,11,0.9722578134514674,153,0.7581699346405228,0.6827252112966399,0.695053245634641,0.9034130104146361
